sample_id,pcap_file,traffic_class,mode,ike_version,ike_proposal,esp_proposal,cipher,integrity,dh_group,pfs,ip_version,nat_t,nat_t_forced,actual_nat_present,peer_auth,capture_duration_s,outer_left,outer_right,traffic_generator,sha256,original_label,canonical_label,dataset_role,profile_id,run_id,capture_timestamp_utc,configured_capture_duration_s,observed_packet_span_s,packet_count,captured_bytes,capture_interface,link_type,generator_parameters,strongswan_version,kernel_version,tcpdump_version,is_anomaly,anomaly_type
file_p01,pcaps/file_p01.pcap,file_transfer,tunnel,IKEv2,aes128-sha256-modp2048,aes128-sha256,AES-128-CBC,HMAC-SHA256,14-MODP2048,off,IPv4,off,no,no,PSK,15,172.30.0.2,172.30.0.3,bulk-http-file-download,ba0828d9c86bcc748dc7745fc3937b55f631a33fed74b2b210aa2a8041363c62,file_transfer,file_transfer,train_known,P01,R01,2026-08-27T21:31:23.690156+00:00,15,10.032503,6370,9344220,legacy-host-veth,1,"{""documented_generator"": ""bulk-http-file-download"", ""legacy_capture"": true}",not recorded for legacy capture,not recorded for legacy capture,not recorded for legacy capture,false,none
file_p02,pcaps/file_p02.pcap,file_transfer,tunnel,IKEv2,aes256gcm16-prfsha256-ecp256,aes256gcm16,AES-256-GCM-16,AEAD-GCM-128-bit-ICV,19-ECP256,off,IPv4,on,yes,no,PSK,22,172.30.0.2,172.30.0.3,bulk-http-file-download,2cebf449d0e6c1a336157ff965700d6759e7f5fd683a8ba498ef52e09b665e02,file_transfer,file_transfer,train_known,P02,R01,2026-08-27T21:32:13.426367+00:00,22,15.557975,12653,18642578,legacy-host-veth,1,"{""documented_generator"": ""bulk-http-file-download"", ""legacy_capture"": true}",not recorded for legacy capture,not recorded for legacy capture,not recorded for legacy capture,false,none
file_p03,pcaps/file_p03.pcap,file_transfer,tunnel,IKEv1,aes256-sha256-modp2048,aes256-sha256-modp2048,AES-256-CBC,HMAC-SHA256,14-MODP2048,on,IPv4,off,no,no,PSK,27,172.30.0.2,172.30.0.3,bulk-http-file-download,0f9f2d9d8007987c467124965ce40330ca09328cf2f106241e92f78c66cba66c,file_transfer,file_transfer,train_known,P03,R01,2026-08-27T21:33:10.184690+00:00,27,20.206486,18920,27904152,legacy-host-veth,1,"{""documented_generator"": ""bulk-http-file-download"", ""legacy_capture"": true}",not recorded for legacy capture,not recorded for legacy capture,not recorded for legacy capture,false,none
file_p04,pcaps/file_p04.pcap,file_transfer,transport,IKEv1,aes128-sha256-modp3072,aes128-sha256-modp3072,AES-128-CBC,HMAC-SHA256,15-MODP3072,on,IPv4,on,yes,no,PSK,38,172.30.0.2,172.30.0.3,bulk-http-file-download,191129df84bd08a3f984393b951bafe357f96fcfce6857989abdf643f7146adf,file_transfer,file_transfer,train_known,P04,R01,2026-08-27T21:34:17.994166+00:00,38,31.185359,25258,36907404,legacy-host-veth,1,"{""documented_generator"": ""bulk-http-file-download"", ""legacy_capture"": true}",not recorded for legacy capture,not recorded for legacy capture,not recorded for legacy capture,false,none
file_p05,pcaps/file_p05.pcap,file_transfer,tunnel,IKEv2,aes256-sha384-ecp384,aes256-sha384,AES-256-CBC,HMAC-SHA384,20-ECP384,off,IPv6,off,no,no,PSK,40,fd00:30::2,fd00:30::3,bulk-http-file-download,1cd27c50783b4d35733d7872d03619ae130ad42430d9b2ea7ce5349999f59b84,file_transfer,file_transfer,train_known,P05,R01,2026-08-27T21:35:26.757727+00:00,40,32.708278,39099,57881162,legacy-host-veth,1,"{""documented_generator"": ""bulk-http-file-download"", ""legacy_capture"": true}",not recorded for legacy capture,not recorded for legacy capture,not recorded for legacy capture,false,none
ping_p01,pcaps/ping_p01.pcap,icmp,tunnel,IKEv2,aes128-sha256-modp2048,aes128-sha256,AES-128-CBC,HMAC-SHA256,14-MODP2048,off,IPv4,off,no,no,PSK,25,172.30.0.2,172.30.0.3,icmp-echo,90a2dc791bbc5b0f46b2b65db7b67debd438dca2d6c1d333a97e634ecd4c6da7,icmp,icmp,train_known,P01,R01,2026-08-27T22:56:45.412096+00:00,25,19.653278,84,15136,legacy-host-veth,1,"{""documented_generator"": ""icmp-echo"", ""legacy_capture"": true}",not recorded for legacy capture,not recorded for legacy capture,not recorded for legacy capture,false,none
ping_p02,pcaps/ping_p02.pcap,icmp,tunnel,IKEv2,aes256gcm16-prfsha256-ecp256,aes256gcm16,AES-256-GCM-16,AEAD-GCM-128-bit-ICV,19-ECP256,off,IPv4,on,yes,no,PSK,30,172.30.0.2,172.30.0.3,icmp-echo,eb4060f9ac3650e733f62875c1423e0d26b9c58933634e2089b68ceec34747a8,icmp,icmp,train_known,P02,R01,2026-08-27T22:57:45.045798+00:00,30,24.846896,126,21732,legacy-host-veth,1,"{""documented_generator"": ""icmp-echo"", ""legacy_capture"": true}",not recorded for legacy capture,not recorded for legacy capture,not recorded for legacy capture,false,none
ping_p03,pcaps/ping_p03.pcap,icmp,tunnel,IKEv1,aes256-sha256-modp2048,aes256-sha256-modp2048,AES-256-CBC,HMAC-SHA256,14-MODP2048,on,IPv4,off,no,no,PSK,30,172.30.0.2,172.30.0.3,icmp-echo,8a4e37288062d4a8c5bd3288343cdbd31bee23d267cbcdf0529bc0b6837ee38d,icmp,icmp,train_known,P03,R01,2026-08-27T22:58:44.790502+00:00,30,24.017378,164,30016,legacy-host-veth,1,"{""documented_generator"": ""icmp-echo"", ""legacy_capture"": true}",not recorded for legacy capture,not recorded for legacy capture,not recorded for legacy capture,false,none
ping_p04,pcaps/ping_p04.pcap,icmp,transport,IKEv1,aes128-sha256-modp3072,aes128-sha256-modp3072,AES-128-CBC,HMAC-SHA256,15-MODP3072,on,IPv4,on,yes,no,PSK,35,172.30.0.2,172.30.0.3,icmp-echo,48c0bdbd8e484a46f97f89abb140194560f8bc8d4727a20022fb0e2f27573c2f,icmp,icmp,train_known,P04,R01,2026-08-27T22:59:51.557291+00:00,35,31.283455,104,18056,legacy-host-veth,1,"{""documented_generator"": ""icmp-echo"", ""legacy_capture"": true}",not recorded for legacy capture,not recorded for legacy capture,not recorded for legacy capture,false,none
ping_p05,pcaps/ping_p05.pcap,icmp,tunnel,IKEv2,aes256-sha384-ecp384,aes256-sha384,AES-256-CBC,HMAC-SHA384,20-ECP384,off,IPv6,off,no,no,PSK,25,fd00:30::2,fd00:30::3,icmp-echo,ad99e787df6c87c1d96a5a1ee113003b93ec3d30eebedbbdc7aaff1545d1605c,icmp,icmp,train_known,P05,R01,2026-08-27T23:00:45.291927+00:00,25,20.587327,200,46024,legacy-host-veth,1,"{""documented_generator"": ""icmp-echo"", ""legacy_capture"": true}",not recorded for legacy capture,not recorded for legacy capture,not recorded for legacy capture,false,none
web_p01_R02,pcaps/known/web/web_p01_R02.pcap,web,tunnel,IKEv2,aes128-sha256-modp2048,aes128-sha256,AES-128-CBC,HMAC-SHA256,14-MODP2048,off,IPv4,off,no,no,PSK,41,172.30.0.2,172.30.0.3,multiple-http-object-requests,9e8bc2549795eee4795b1b471c790ee179feedf8237e20dcbc27189b8623591f,web,web,train_known,P01,R02,2026-08-30T05:35:43.735368+00:00,41,0.791641,103,18446,host-veth,1,"{""duration_s"": 41, ""object_count"": 8, ""seed"": 68236}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
web_p02_R02,pcaps/known/web/web_p02_R02.pcap,web,tunnel,IKEv2,aes256gcm16-prfsha256-ecp256,aes256gcm16,AES-256-GCM-16,AEAD-GCM-128-bit-ICV,19-ECP256,off,IPv4,on,yes,no,PSK,30,172.30.0.2,172.30.0.3,multiple-http-object-requests,73962190c78191feefd9400cc7aa6cde182df4f2dacadd3318dc47e30730345d,web,web,train_known,P02,R02,2026-08-30T05:36:17.115455+00:00,30,2.053978,65,11194,host-veth,1,"{""duration_s"": 30, ""object_count"": 5, ""seed"": 68345}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
web_p03_R02,pcaps/known/web/web_p03_R02.pcap,web,tunnel,IKEv1,aes256-sha256-modp2048,aes256-sha256-modp2048,AES-256-CBC,HMAC-SHA256,14-MODP2048,on,IPv4,off,no,no,PSK,44,172.30.0.2,172.30.0.3,multiple-http-object-requests,7f790f8ff89af6de486d32a76d99faa70a9c29555d06678234bf43adfd2ce6ec,web,web,train_known,P03,R02,2026-08-30T05:36:54.817641+00:00,44,6.120432,142,25412,host-veth,1,"{""duration_s"": 44, ""object_count"": 11, ""seed"": 68479}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
web_p04_R02,pcaps/known/web/web_p04_R02.pcap,web,transport,IKEv1,aes128-sha256-modp3072,aes128-sha256-modp3072,AES-128-CBC,HMAC-SHA256,15-MODP3072,on,IPv4,on,yes,no,PSK,41,172.30.0.2,172.30.0.3,multiple-http-object-requests,67ce6f7308b5aef88674ccf723689b06e1edd5e6a377d414df90a5b744dd8ccf,web,web,train_known,P04,R02,2026-08-30T05:37:27.030241+00:00,41,0.942573,43,7454,host-veth,1,"{""duration_s"": 41, ""object_count"": 4, ""seed"": 68616}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
web_p05_R02,pcaps/known/web/web_p05_R02.pcap,web,tunnel,IKEv2,aes256-sha384-ecp384,aes256-sha384,AES-256-CBC,HMAC-SHA384,20-ECP384,off,IPv6,off,no,no,PSK,34,fd00:30::2,fd00:30::3,multiple-http-object-requests,7d8b01058c5252c3b8173234973303b4c115a149e4e24469d4a0acb802e5e5a6,web,web,train_known,P05,R02,2026-08-30T05:38:00.662607+00:00,34,2.497751,116,26304,host-veth,1,"{""duration_s"": 34, ""object_count"": 9, ""seed"": 68749}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
video_p01_R02,pcaps/known/video/video_p01_R02.pcap,video,tunnel,IKEv2,aes128-sha256-modp2048,aes128-sha256,AES-128-CBC,HMAC-SHA256,14-MODP2048,off,IPv4,off,no,no,PSK,37,172.30.0.2,172.30.0.3,hls-segment-streaming,0e1d3f49a39e1d3033675cd062c6899bbf08ea83f7ef2e2ab6d8d323ad86ac24,video,video,train_known,P01,R02,2026-08-30T05:38:49.180973+00:00,37,16.704991,7556,8943936,host-veth,1,"{""duration_s"": 37, ""rate"": ""1082K"", ""seed"": 68382, ""segment_count"": 14}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
video_p02_R02,pcaps/known/video/video_p02_R02.pcap,video,tunnel,IKEv2,aes256gcm16-prfsha256-ecp256,aes256gcm16,AES-256-GCM-16,AEAD-GCM-128-bit-ICV,19-ECP256,off,IPv4,on,yes,no,PSK,46,172.30.0.2,172.30.0.3,hls-segment-streaming,904bfd654654cf6289b91112b74c70dcae0e930736edb3fd7ec04f981ddff871,video,video,train_known,P02,R02,2026-08-30T05:39:33.867612+00:00,46,12.820375,6106,7108080,host-veth,1,"{""duration_s"": 46, ""rate"": ""1231K"", ""seed"": 68531, ""segment_count"": 11}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
video_p03_R02,pcaps/known/video/video_p03_R02.pcap,video,tunnel,IKEv1,aes256-sha256-modp2048,aes256-sha256-modp2048,AES-256-CBC,HMAC-SHA256,14-MODP2048,on,IPv4,off,no,no,PSK,50,172.30.0.2,172.30.0.3,hls-segment-streaming,d6b813c0c23966bd4caf68e7a725a8ce929cd2ebf8c7383451a944661dab6caa,video,video,train_known,P03,R02,2026-08-30T05:40:20.054897+00:00,50,14.308664,5747,7001462,host-veth,1,"{""duration_s"": 50, ""rate"": ""675K"", ""seed"": 68675, ""segment_count"": 11}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
video_p04_R02,pcaps/known/video/video_p04_R02.pcap,video,transport,IKEv1,aes128-sha256-modp3072,aes128-sha256-modp3072,AES-128-CBC,HMAC-SHA256,15-MODP3072,on,IPv4,on,yes,no,PSK,37,172.30.0.2,172.30.0.3,hls-segment-streaming,cae6fb446eba528a62424789b97758903a6360800dacfb7a075c4d969bc008e3,video,video,train_known,P04,R02,2026-08-30T05:41:10.074168+00:00,37,18.186998,8465,8913018,host-veth,1,"{""duration_s"": 37, ""rate"": ""822K"", ""seed"": 68822, ""segment_count"": 14}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
video_p05_R02,pcaps/known/video/video_p05_R02.pcap,video,tunnel,IKEv2,aes256-sha384-ecp384,aes256-sha384,AES-256-CBC,HMAC-SHA384,20-ECP384,off,IPv6,off,no,no,PSK,37,fd00:30::2,fd00:30::3,hls-segment-streaming,76b25c10ed829f985eddac9539dd038df891047c7e632005ca131d7bd35af8b5,video,video,train_known,P05,R02,2026-08-30T05:42:01.220261+00:00,37,11.505775,5970,6868900,host-veth,1,"{""duration_s"": 37, ""rate"": ""1002K"", ""seed"": 69002, ""segment_count"": 10}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
file_transfer_p01_R02,pcaps/known/file_transfer/file_transfer_p01_R02.pcap,file_transfer,tunnel,IKEv2,aes128-sha256-modp2048,aes128-sha256,AES-128-CBC,HMAC-SHA256,14-MODP2048,off,IPv4,off,no,no,PSK,23,172.30.0.2,172.30.0.3,bulk-http-file-download,7a2b68b65fbe6d00f1ea5abc2a625dcdff2e35acf2f9e225f14529a4415367d2,file_transfer,file_transfer,train_known,P01,R02,2026-08-30T05:43:00.836023+00:00,23,28.794624,25206,37221140,host-veth,1,"{""duration_s"": 23, ""file_size_mib"": 32, ""rate_kib_s"": 1123, ""seed"": 68623}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
file_transfer_p02_R02,pcaps/known/file_transfer/file_transfer_p02_R02.pcap,file_transfer,tunnel,IKEv2,aes256gcm16-prfsha256-ecp256,aes256gcm16,AES-256-GCM-16,AEAD-GCM-128-bit-ICV,19-ECP256,off,IPv4,on,yes,no,PSK,22,172.30.0.2,172.30.0.3,bulk-http-file-download,9a162c1dfbb148e5a26949fc30c4f8ae4cbfa6b11bacc0e48d3a664eb683418f,file_transfer,file_transfer,train_known,P02,R02,2026-08-30T05:43:50.506275+00:00,22,18.799074,19217,27995802,host-veth,1,"{""duration_s"": 22, ""file_size_mib"": 24, ""rate_kib_s"": 1282, ""seed"": 68782}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
file_transfer_p03_R02,pcaps/known/file_transfer/file_transfer_p03_R02.pcap,file_transfer,tunnel,IKEv1,aes256-sha256-modp2048,aes256-sha256-modp2048,AES-256-CBC,HMAC-SHA256,14-MODP2048,on,IPv4,off,no,no,PSK,32,172.30.0.2,172.30.0.3,bulk-http-file-download,96ef7d1b3502e55bf3a264c255b583583882967ea7554f3ff758ba2ef3101d42,file_transfer,file_transfer,train_known,P03,R02,2026-08-30T05:44:26.474046+00:00,32,5.141019,6693,9359130,host-veth,1,"{""duration_s"": 32, ""file_size_mib"": 8, ""rate_kib_s"": 1432, ""seed"": 68932}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
file_transfer_p04_R02,pcaps/known/file_transfer/file_transfer_p04_R02.pcap,file_transfer,transport,IKEv1,aes128-sha256-modp3072,aes128-sha256-modp3072,AES-128-CBC,HMAC-SHA256,15-MODP3072,on,IPv4,on,yes,no,PSK,28,172.30.0.2,172.30.0.3,bulk-http-file-download,355f4407e185e02b23c706cb6120645a4158f3ed2fbf715d9ab4f423a3596715,file_transfer,file_transfer,train_known,P04,R02,2026-08-30T05:45:11.624222+00:00,28,14.171405,6570,9269212,host-veth,1,"{""duration_s"": 28, ""file_size_mib"": 8, ""rate_kib_s"": 568, ""seed"": 69068}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
file_transfer_p05_R02,pcaps/known/file_transfer/file_transfer_p05_R02.pcap,file_transfer,tunnel,IKEv2,aes256-sha384-ecp384,aes256-sha384,AES-256-CBC,HMAC-SHA384,20-ECP384,off,IPv6,off,no,no,PSK,33,fd00:30::2,fd00:30::3,bulk-http-file-download,780376952bbd9d3a15b687877a8e0d2b96fb8ea9de50a1a573bac41a248e61a6,file_transfer,file_transfer,train_known,P05,R02,2026-08-30T05:46:04.765917+00:00,33,22.125533,13106,19299972,host-veth,1,"{""duration_s"": 33, ""file_size_mib"": 16, ""rate_kib_s"": 713, ""seed"": 69213}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
icmp_p01_R02,pcaps/known/icmp/icmp_p01_R02.pcap,icmp,tunnel,IKEv2,aes128-sha256-modp2048,aes128-sha256,AES-128-CBC,HMAC-SHA256,14-MODP2048,off,IPv4,off,no,no,PSK,33,172.30.0.2,172.30.0.3,randomized-icmp-echo,169d28957b2b68644b317d819f4608e2e83cead1343db4e79f964e60159d2942,icmp,icmp,train_known,P01,R02,2026-08-30T05:52:12.314901+00:00,33,7.146048,96,93144,host-veth,1,"{""duration_s"": 33, ""packet_count"": 48, ""payload_bytes"": 850, ""seed"": 69218}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
icmp_p02_R02,pcaps/known/icmp/icmp_p02_R02.pcap,icmp,tunnel,IKEv2,aes256gcm16-prfsha256-ecp256,aes256gcm16,AES-256-GCM-16,AEAD-GCM-128-bit-ICV,19-ECP256,off,IPv4,on,yes,no,PSK,29,172.30.0.2,172.30.0.3,randomized-icmp-echo,47f3fb2cafb362267ac934714e8ac3896aee7ab2a06ea58d7bca905dae4f5b7c,icmp,icmp,train_known,P02,R02,2026-08-30T05:52:52.724117+00:00,29,9.577517,128,139032,host-veth,1,"{""duration_s"": 29, ""packet_count"": 64, ""payload_bytes"": 966, ""seed"": 69334}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
icmp_p03_R02,pcaps/known/icmp/icmp_p03_R02.pcap,icmp,tunnel,IKEv1,aes256-sha256-modp2048,aes256-sha256-modp2048,AES-256-CBC,HMAC-SHA256,14-MODP2048,on,IPv4,off,no,no,PSK,29,172.30.0.2,172.30.0.3,randomized-icmp-echo,8454192b23916a62ae350b51bee0ffb6a9e5f67d22ca2439d4f75ec625251387,icmp,icmp,train_known,P03,R02,2026-08-30T05:53:39.190297+00:00,29,15.658529,208,255032,host-veth,1,"{""duration_s"": 29, ""packet_count"": 104, ""payload_bytes"": 1106, ""seed"": 69474}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
icmp_p04_R02,pcaps/known/icmp/icmp_p04_R02.pcap,icmp,transport,IKEv1,aes128-sha256-modp3072,aes128-sha256-modp3072,AES-128-CBC,HMAC-SHA256,15-MODP3072,on,IPv4,on,yes,no,PSK,16,172.30.0.2,172.30.0.3,randomized-icmp-echo,a8bcba1d8c9a9454b0177b25ffe1d183633037ea2da48ef048a3d6dc47346396,icmp,icmp,train_known,P04,R02,2026-08-30T05:54:17.817177+00:00,16,7.598886,102,16548,host-veth,1,"{""duration_s"": 16, ""packet_count"": 51, ""payload_bytes"": 53, ""seed"": 69621}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
icmp_p05_R02,pcaps/known/icmp/icmp_p05_R02.pcap,icmp,tunnel,IKEv2,aes256-sha384-ecp384,aes256-sha384,AES-256-CBC,HMAC-SHA384,20-ECP384,off,IPv6,off,no,no,PSK,34,fd00:30::2,fd00:30::3,randomized-icmp-echo,b08336c52dca770f78cbad947a3b03a42d36211e8223502cb91d6cba85b94978,icmp,icmp,train_known,P05,R02,2026-08-30T05:55:02.110798+00:00,34,13.375935,178,66596,host-veth,1,"{""duration_s"": 34, ""packet_count"": 89, ""payload_bytes"": 191, ""seed"": 69759}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
email_p01_R01,pcaps/known/email/email_p01_R01.pcap,email,tunnel,IKEv2,aes128-sha256-modp2048,aes128-sha256,AES-128-CBC,HMAC-SHA256,14-MODP2048,off,IPv4,off,no,no,PSK,45,172.30.0.2,172.30.0.3,smtp-message-transfer,4c1b9ad9b38ff5dec88815407789c3345360403e4516318a3864fef3c2ce4f71,email,email,train_known,P01,R01,2026-08-30T05:55:53.247711+00:00,45,18.957787,5016,5251192,host-veth,1,"{""duration_s"": 45, ""message_count"": 45, ""seed"": 69403}",Linux strongSwan U5.9.13/K7.0.0-30-generic,7.0.0-30-generic,tcpdump version 4.99.4,false,none
